iter	Passed	Remaining
556	3769	2997
557	3780	2994
558	3782	2984
559	3784	2973
560	3788	2964
561	3791	2954
562	3793	2944
563	3795	2934
564	3797	2923
565	3800	2914
566	3803	2904
567	3805	2894
568	3807	2884
569	3811	2875
570	3814	2865
571	3816	2855
572	3846	2866
573	3848	2856
574	3850	2846
575	3853	2836
576	3855	2826
577	3858	2817
578	3861	2807
579	3863	2797
580	3865	2787
581	3868	2778
582	3870	2768
583	3874	2759
584	3876	2750
585	3878	2740
586	3880	2730
587	3883	2720
588	3886	2712
589	3888	2702
590	3891	2692
591	3894	2683
592	3896	2674
593	3899	2665
594	3901	2655
595	3905	2647
596	3907	2637
597	3909	2627
598	3911	2618
599	3914	2609
600	3939	2615
601	3941	2606
602	3944	2597
603	3947	2587
604	3949	2578
605	3952	2569
606	3955	2560
607	3955	2550
608	3958	2541
609	3961	2532
610	3963	2523
611	3966	2514
612	3968	2505
613	3973	2498
614	3975	2489
615	3978	2479
616	3981	2471
617	3985	2463
618	3992	2457
619	3997	2450
620	4004	2444
621	4011	2437
622	4043	2446
623	4051	2441
624	4055	2433
625	4062	2426
626	4071	2422
627	4075	2414
628	4082	2408
629	4088	2401
630	4094	2394
631	4103	2389
632	4109	2382
633	4141	2390
634	4148	2384
635	4154	2378
636	4161	2371
637	4168	2365
638	4176	2359
639	4182	2352
640	4186	2344
641	4193	2338
642	4198	2331
643	4205	2324
644	4241	2334
645	4247	2327
646	4255	2321
647	4259	2313
648	4265	2307
649	4272	2300
650	4280	2294
651	4284	2286
652	4291	2280
653	4297	2273
654	4304	2267
655	4339	2275
656	4345	2268
657	4352	2262
658	4358	2255
659	4366	2249
660	4370	2241
661	4378	2235
662	4382	2227
663	4389	2221
664	4395	2214
665	4408	2210
666	4411	2202
667	4413	2193
668	4431	2192
669	4438	2185
670	4441	2177
671	4449	2171
672	4453	2163
673	4459	2157
674	4466	2150
675	4473	2144
676	4480	2137
677	4486	2130
678	4492	2123
679	4499	2117
680	4502	2109
681	4510	2103
682	4517	2096
683	4531	2093
684	4539	2087
685	4542	2079
686	4549	2072
687	4556	2066
688	4562	2059
689	4569	2052
690	4578	2047
691	4583	2039
692	4587	2032
693	4591	2024
694	4596	2017
695	4600	2009
696	4603	2001
697	4606	1992
698	4632	1994
699	4637	1987
700	4642	1980
701	4646	1972
702	4651	1965
703	4656	1957
704	4660	1950
705	4665	1942
706	4676	1937
707	4683	1931
708	4691	1925
709	4699	1919
710	4707	1913
711	4710	1905
712	4712	1896
713	4726	1893
714	4729	1885
715	4732	1877
716	4735	1869
717	4737	1860
718	4741	1852
719	4743	1844
720	4746	1836
721	4748	1828
722	4751	1820
723	4753	1812
724	4756	1804
725	4759	1796
726	4762	1788
727	4765	1780
728	4768	1772
729	4771	1764
730	4774	1756
731	4780	1750
732	4782	1742
733	4784	1733
734	4787	1725
735	4790	1718
736	4792	1710
737	4796	1702
738	4822	1703
739	4824	1695
740	4827	1687
741	4831	1679
742	4833	1671
743	4835	1663
744	4839	1656
745	4841	1648
746	4844	1640
747	4847	1633
748	4851	1625
749	4853	1617
750	4855	1609
751	4859	1602
752	4862	1594
753	4864	1587
754	4869	1580
755	4872	1572
756	4874	1564
757	4877	1557
758	4880	1549
759	4883	1542
760	4886	1534
761	4889	1527
762	4891	1519
763	4895	1512
764	4897	1504
765	4919	1502
766	4922	1495
767	4926	1488
768	4928	1480
769	4931	1473
770	4935	1465
771	4937	1458
772	4940	1450
773	4942	1443
774	4946	1436
775	4949	1428
776	4951	1421
777	4955	1413
778	4957	1406
779	4960	1398
780	4963	1391
781	4965	1384
782	4970	1377
783	4974	1370
784	4979	1363
785	4984	1357
786	4988	1350
787	4993	1343
788	5016	1341
789	5021	1334
790	5028	1328
791	5034	1322
792	5041	1315
793	5047	1309
794	5054	1303
795	5061	1297
796	5066	1290
797	5072	1284
798	5079	1277
799	5115	1278
800	5119	1271
801	5123	1264
802	5127	1257
803	5134	1251
804	5140	1245
805	5147	1238
806	5153	1232
807	5160	1226
808	5166	1219
809	5173	1213
810	5182	1207
811	5185	1200
812	5211	1198
813	5213	1191
814	5216	1184
815	5219	1176
816	5222	1169
817	5224	1162
818	5226	1155
819	5228	1147
820	5232	1140
821	5234	1133
822	5236	1126
823	5238	1118
824	5241	1111
825	5244	1104
826	5246	1097
827	5249	1090
828	5251	1083
829	5254	1076
830	5256	1068
831	5259	1062
832	5262	1055
833	5264	1047
834	5267	1040
835	5269	1033
836	5272	1026
837	5275	1019
838	5277	1012
839	5280	1005
840	5282	998
841	5285	991
842	5289	985
843	5291	977
844	5293	970
845	5295	963
846	5298	957
847	5301	950
848	5302	943
849	5304	936
850	5306	929
851	5309	922
852	5311	915
853	5314	908
854	5316	901
855	5318	894
856	5321	888
857	5324	881
858	5326	874
859	5328	867
860	5332	860
861	5334	853
862	5336	847
863	5338	840
864	5342	833
865	5344	827
866	5349	820
867	5375	817
868	5377	810
869	5379	803
870	5382	797
871	5386	790
872	5388	783
873	5390	777
874	5392	770
875	5396	763
876	5398	757
877	5400	750
878	5402	743
879	5404	737
880	5408	730
881	5410	723
882	5412	717
883	5415	710
884	5417	704
885	5419	697
886	5422	690
887	5426	684
888	5428	677
889	5430	671
890	5433	664
891	5435	658
892	5438	651
893	5442	645
894	5445	638
895	5448	632
896	5450	625
897	5452	619
898	5455	612
899	5458	606
900	5461	600
901	5463	593
902	5465	587
903	5468	580
904	5470	574
905	5472	567
906	5475	561
907	5477	555
908	5480	548
909	5483	542
910	5486	535
911	5487	529
912	5489	523
913	5491	516
914	5494	510
915	5496	504
916	5499	497
917	5502	491
918	5505	485
919	5507	478
920	5509	472
921	5512	466
922	5514	460
923	5542	455
924	5545	449
925	5547	443
926	5550	437
927	5553	430
928	5555	424
929	5557	418
930	5561	412
931	5563	405
932	5565	399
933	5569	393
934	5571	387
935	5573	381
936	5576	374
937	5578	368
938	5580	362
939	5584	356
940	5586	350
941	5588	344
942	5592	338
943	5599	332
944	5604	326
945	5610	320
946	5616	314
947	5641	309
948	5645	303
949	5660	297
950	5667	292
951	5675	286
952	5679	280
953	5685	274
954	5692	268
955	5699	262
956	5705	256
957	5712	250
958	5718	244
959	5741	239
960	5744	233
961	5746	227
962	5749	220
963	5753	214
964	5755	208
965	5757	202
966	5759	196
967	5762	190
968	5766	184
969	5768	178
970	5770	172
971	5773	166
972	5776	160
973	5778	154
974	5780	148
975	5782	142
976	5784	136
977	5787	130
978	5790	124
979	5792	118
980	5794	112
981	5797	106
982	5800	100
983	5802	94
984	5804	88
985	5807	82
986	5810	76
987	5813	70
988	5815	64
989	5818	58
990	5820	52
991	5824	46
992	5826	41
993	5828	35
994	5830	29
995	5833	23
996	5836	17
997	5838	11
998	5841	5
999	5844	0
